mode,agent_a,agent_b,test,dimension,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
chaser_follower,predator_1,predator_0,ccm_1,PCA_2,0.4337,0.3447,0.37320000000000003,0.3774,0.384,0.3874,0.3835,0.37570000000000003,0.37829999999999997,0.38330000000000003
chaser_follower,predator_1,predator_0,ccm_1,PCA_3,0.5201,0.48789999999999994,0.5027,0.5312,0.5549999999999999,0.55,0.5534,0.5488,0.5367,0.5275000000000001
chaser_follower,predator_1,predator_0,ccm_1,dx,0.7368,0.6912,0.6904,0.6845,0.6885,0.6867,0.6818,0.6822,0.6774,0.6776
chaser_follower,predator_1,predator_0,ccm_1,dy,0.6355999999999999,0.5862,0.5711999999999999,0.5656,0.5538000000000001,0.5517000000000001,0.5547,0.5558,0.5411,0.5573
chaser_follower,predator_1,predator_0,ccm_1,x,0.8471,0.7857000000000001,0.7528,0.76,0.7686,0.7503,0.7807999999999999,0.764,0.7479,0.7703
chaser_follower,predator_1,predator_0,ccm_1,y,0.7426,0.6814,0.6888,0.674,0.6668000000000001,0.65,0.6543,0.6494,0.6547000000000001,0.6628000000000001
chaser_follower,predator_1,predator_0,ccm_2,PCA_1,0.7505,0.7565000000000001,0.7635,0.7596,0.7533000000000001,0.7541,0.7586,0.7583,0.7554000000000001,0.7534
chaser_follower,predator_1,predator_0,ccm_2,PCA_2,0.7948999999999999,0.7664,0.7895000000000001,0.781,0.7646,0.7801,0.775,0.7677,0.7713,0.7758
chaser_follower,predator_1,predator_0,ccm_2,PCA_3,0.8916000000000001,0.8470000000000001,0.8942,0.906,0.9082000000000001,0.8931000000000001,0.8966,0.8888,0.8842000000000001,0.8816
chaser_follower,predator_1,predator_0,ccm_2,dx,0.6333,0.5778000000000001,0.5570999999999999,0.5386,0.5448000000000001,0.5467000000000001,0.5488000000000001,0.5508,0.5372,0.5454
