"episodes_total","training.model.use_lstm: true - _step","training.model.use_lstm: true - _step__MIN","training.model.use_lstm: true - _step__MAX","training.model.use_lstm: true - episode_len_mean","training.model.use_lstm: true - episode_len_mean__MIN","training.model.use_lstm: true - episode_len_mean__MAX"
"3217","32","32","32","91.16","91.16","91.16"
"3225","31","31","31","71.43","71.43","71.43"
"3227","32","32","32","86.09","86.09","86.09"
"3240","32","32","32","83.13","83.13","83.13"
"3241","31","31","31","77.24","77.24","77.24"
"3255","32","32","32","82.19","82.19","82.19"
"3259","32","32","32","73.25","73.25","73.25"
"3272","32","32","32","76.81","76.81","76.81"
"3279","32","32","32","89.3","89.3","89.3"
"3282","31","31","31","79.39","79.39","79.39"
"3286","32","32","32","75.52","75.52","75.52"
"3290","32","32","32","70.43","70.43","70.43"
"3301","33","33","33","94.86","94.86","94.86"
"3316","33","33","33","90.97","90.97","90.97"
"3320","33","33","33","89.57","89.57","89.57"
"3324","32","32","32","74.28","74.28","74.28"
"3326","32","32","32","71.69","71.69","71.69"
"3335","33","33","33","80.99","80.99","80.99"
"3342","32","32","32","71.3","71.3","71.3"
"3352","32","32","32","77.62","77.62","77.62"
"3355","33","33","33","73.65","73.65","73.65"
"3362","33","33","33","79.4","79.4","79.4"
"3363","33","33","33","81.18","81.18","81.18"
"3378","33","33","33","82.91","82.91","82.91"
"3382","33","33","33","92.59","92.59","92.59"
"3392","32","32","32","78.17","78.17","78.17"
"3395","33","33","33","79.86","79.86","79.86"
"3401","34","34","34","95.97","95.97","95.97"
"3412","33","33","33","67.42","67.42","67.42"
"3417","34","34","34","90.65","90.65","90.65"
"3421","34","34","34","97.22","97.22","97.22"
"3434","33","33","33","79.435","79.1","79.77"
"3448","33.5","33","34","77.87","72.97","82.77"
"3469","34","34","34","77.24","77.24","77.24"
"3470","34","34","34","78.77","78.77","78.77"
"3473","34","34","34","75.9","75.9","75.9"
"3480","33","33","33","65.56","65.56","65.56"
"3490","34","34","34","80.24","80.24","80.24"
"3492","34","34","34","72.94","72.94","72.94"
"3498","34","34","34","90.03","90.03","90.03"
"3501","35","35","35","93.47","93.47","93.47"
"3513","33","33","33","67.35","67.35","67.35"
"3519","35","35","35","89.3","89.3","89.3"
"3521","35","35","35","93.99","93.99","93.99"
"3534","34","34","34","68.9","68.9","68.9"
"3544","34","34","34","79.03","79.03","79.03"
"3552","35","35","35","85.27","85.27","85.27"
"3554","34","34","34","67.92","67.92","67.92"
"3559","34","34","34","75.32","75.32","75.32"
"3580","35","35","35","78.31","78.31","78.31"
"3581","35","35","35","78.63","78.63","78.63"
"3584","35","35","35","72.12","72.12","72.12"
"3597","34.5","34","35","75.305","73.18","77.43"
"3601","36","36","36","89.59","89.59","89.59"
"3604","35","35","35","83.73","83.73","83.73"
"3608","35","35","35","67.05","67.05","67.05"
"3620","36","36","36","97.63","97.63","97.63"
"3628","35","34","36","79.99000000000001","74.06","85.92"
"3646","35","35","35","75.39","75.39","75.39"
"3660","35","35","35","72.65","72.65","72.65"
"3663","36","36","36","80.72","80.72","80.72"
"3673","35","35","35","70.62","70.62","70.62"
"3681","35","35","35","63.17","63.17","63.17"
"3690","36","36","36","75.33","75.33","75.33"
"3700","36","36","36","69.46000000000001","67.05","71.87"
"3703","37","37","37","90.5","90.5","90.5"
"3711","36","36","36","82.12","82.12","82.12"
"3716","36","36","36","70.62","70.62","70.62"
"3720","36","35","37","80.815","67.9","93.73"
"3730","36","36","36","67.78","67.78","67.78"
"3738","37","37","37","81.37","81.37","81.37"
"3750","35","35","35","65.9","65.9","65.9"
"3759","36","36","36","76.33","76.33","76.33"
"3780","37","37","37","73.63","73.63","73.63"
"3790","36","36","36","61.51","61.51","61.51"
"3801","36.5","36","37","73.28","68.67","77.89"
"3802","36","36","36","62.43","62.43","62.43"
"3806","38","38","38","84.36","84.36","84.36"
"3814","37","37","37","72.09","72.09","72.09"
"3820","37","37","37","71.09","71.09","71.09"
"3821","37.5","37","38","82.845","72.4","93.29"
"3823","37","37","37","86.65","86.65","86.65"
"3837","36","36","36","70.78","70.78","70.78"
"3839","38","38","38","96.12","96.12","96.12"
"3857","37","37","37","63.91","63.91","63.91"
"3860","36","36","36","75.33","75.33","75.33"
"3880","37","37","37","66.94","66.94","66.94"
"3885","38","38","38","84.72","84.72","84.72"
"3911","39","39","39","86.31","86.31","86.31"
"3912","38","38","38","73.85","73.85","73.85"
"3914","37","37","37","70.64","70.64","70.64"
"3918","37","37","37","70.66","70.66","70.66"
"3924","39","39","39","87.28","87.28","87.28"
"3926","37","37","37","69.06","69.06","69.06"
"3928","38","38","38","78.44","78.44","78.44"
"3932","38","38","38","79.76","79.76","79.76"
"3935","38","38","38","70.25","70.25","70.25"
"3937","38","38","38","70.26","70.26","70.26"
"3942","39","39","39","90.25","90.25","90.25"
"3958","37","37","37","68.08","68.08","68.08"
"3974","37","37","37","70.91","70.91","70.91"
"3985","38","38","38","66.06","66.06","66.06"
"3992","39","39","39","81.14","81.14","81.14"
"4006","38","38","38","65.56","65.56","65.56"
"4016","40","40","40","85.77","85.77","85.77"
"4023","39","39","39","75.3","75.3","75.3"
"4026","40","40","40","82.38","82.38","82.38"
"4033","38","38","38","65.14","65.14","65.14"
"4037","39","39","39","77.34","77.34","77.34"
"4040","38","38","38","66.83","66.83","66.83"
"4044","39","39","39","75.305","72.14","78.47"
"4045","40","40","40","86.62","86.62","86.62"
"4047","38","38","38","69.65","69.65","69.65"
"4060","39","39","39","65.94","65.94","65.94"
"4078","38","38","38","72.18","72.18","72.18"
"4099","38","38","38","67.08","67.08","67.08"
"4107","39","39","39","66.07","66.07","66.07"
"4111","40","40","40","73.65","73.65","73.65"
"4123","41","41","41","80.82","80.82","80.82"
"4125","40","40","40","95.72","95.72","95.72"
"4126","40","39","41","81.55","65.61","97.49"
"4150","40","40","40","83.26","83.26","83.26"
"4151","41","41","41","83.14","83.14","83.14"
"4154","40","40","40","70.75","70.75","70.75"
"4155","39","39","39","67.2","67.2","67.2"
"4158","39","39","39","69.88","69.88","69.88"
"4163","39","39","39","69.6","69.6","69.6"
"4166","40","40","40","66.42","66.42","66.42"
"4179","40","40","40","68.43","68.43","68.43"
"4198","39","39","39","66.74","66.74","66.74"
"4224","40","40","40","68.99","68.99","68.99"
"4227","39","39","39","65.9","65.9","65.9"
"4229","42","42","42","90.19","90.19","90.19"
"4230","41","41","41","78.48","72.28","84.68"
"4233","42","42","42","78.43","78.43","78.43"
"4246","40","40","40","71.44","71.44","71.44"
